What gender do you identify with?,What is your age?,Age range,What is your race?,About how much money do you make per year?,What is your highest level of education?,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","The typical Hollywood movie star is paid about 10 or 20 million dollars for every movie that they star in. Do you think it is fair that they are paid that much money, or unfair?","If you had to guess, in dollars per hour, what do you think the federal minimum wage is?","And in your opinion, in dollars per hour, what do you believe the federal minimum wage should be?","If you had to guess, in percentage, what do you believe the federal tax rate is for individuals making more than 500 thousand dollars per year?","And in your opinion, in percentage, what do you believe the federal tax rate should be for these individuals?","In general, do you believe that the government should redistribute wealth from the rich to the poor?","If the government were to redistribute wealth, do you think it would personally benefit you?","And if the government were to redistribute wealth, do you think it would benefit most of the people you know?","Would you support a universal basic income, in which every American would receive an annual sum of money from the government to pay for basic needs, like food and housing?",Do you feel that you are being fairly compensated by your employer for the work that you do?,"The average CEO is paid about 16 million dollars per year. Do you think it is fair that they are paid that much money, or unfair?","This next question is about your physical appearance, and you may choose not to respond if it makes you uncomfortable. On a scale of 1-10, how physically attractive are you?"
Female,59,55-64,White,6000,High school or less,Democrat,Conservative,Somewhat Approve,Unfair,10.5,15,45,50,No,Yes,Yes,Yes,DK/REF,Fair,8
Male,62,55-64,White,120000,Some college,Republican,Moderate,Strongly Disapprove,Fair,10,12,21,30,No,No,No,No,Yes,Unfair,5
Male,50,45-54,White,,Some college,Independent,Moderate,Strongly Approve,Unfair,8,9,45,45,No,Yes,No,No,Yes,Unfair,5
Female,85,65+,White,,High school or less,Republican,DK/REF,DK/REF,Fair,,,,,No,DK/REF,DK/REF,No,DK/REF,DK/REF,6
Male,55,55-64,White,90000,Graduate degree,Independent,Liberal,Neither approve nor disapprove,Unfair,12.45,16,3,10,No,No,No,Yes,Yes,Fair,5
Male,42,35-44,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,8.5,15,35,45,No,Yes,Yes,Yes,Yes,Fair,6
Female,75,65+,White,40000,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,7.5,10,,,Yes,No,No,No,DK/REF,Unfair,7
Female,67,65+,Black,50000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,15,20,20,35,No,No,No,Yes,Yes,Unfair,6
Male,76,65+,White,,High school or less,Republican,Liberal,Somewhat Approve,Fair,8.5,8,,,Yes,No,Yes,Yes,Yes,Unfair,5
Female,84,65+,White,,College degree,Independent,Conservative,DK/REF,Unfair,7.5,8.5,30,15,DK/REF,Yes,Yes,No,Yes,DK/REF,4
Female,50,45-54,White,100000,College degree,Republican,Moderate,Neither approve nor disapprove,Fair,10.5,12,,,Yes,No,No,No,No,Fair,4
Male,78,65+,DK/REF,60000,High school or less,Republican,Moderate,Strongly Approve,Unfair,10,15,10,18,No,No,No,No,Yes,Unfair,DK/REF
Female,67,65+,White,90000,College degree,Democrat,Liberal,Strongly Disapprove,Unfair,9,14,30,55,DK/REF,No,No,Yes,Yes,Unfair,5
Female,78,65+,White,72000,Graduate degree,Democrat,Moderate,Somewhat Disapprove,Unfair,5,,10,,Yes,No,No,No,Yes,Unfair,7
Female,61,55-64,Other,75000,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,9,17,10,30,No,No,No,Yes,No,Unfair,8
Male,63,55-64,White,70000,Some college,Independent,Conservative,Strongly Approve,Unfair,10,10,30,30,No,No,No,No,Yes,Unfair,7
Male,70,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Fair,10,12.5,,,Yes,No,No,No,DK/REF,Unfair,DK/REF
Female,40,35-44,White,,Some college,Independent,Moderate,Strongly Approve,Unfair,9,9,23,23,No,No,No,No,Yes,Unfair,8
Female,86,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,15,15,,,Yes,Yes,Yes,No,DK/REF,Unfair,7
Female,70,65+,White,70000,High school or less,Republican,Conservative,Strongly Approve,Unfair,35,15,15,12,No,Yes,Yes,No,Yes,Fair,DK/REF
Male,86,65+,White,,Some college,Democrat,Liberal,Somewhat Approve,Fair,6,8,20,20,No,No,No,No,DK/REF,Fair,DK/REF
Female,84,65+,White,,High school or less,DK/REF,DK/REF,Strongly Approve,DK/REF,,10,10,10,No,No,No,No,Yes,Fair,9
Male,56,55-64,White,,Some college,Republican,Moderate,Strongly Approve,DK/REF,7,,,10,No,No,No,No,Yes,DK/REF,DK/REF
Male,65,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,12,15,,,Yes,Yes,Yes,Yes,Yes,Fair,8
Male,76,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,10,10,39,39,No,No,No,Yes,Yes,Unfair,9
Male,70,65+,White,,Graduate degree,Democrat,Conservative,Strongly Approve,Fair,,,25,25,No,No,No,No,Yes,Fair,5
Female,60,55-64,White,20000,High school or less,Republican,Conservative,Strongly Approve,DK/REF,8,,,,No,No,No,No,DK/REF,Fair,DK/REF
Female,70,65+,White,,High school or less,DK/REF,Moderate,Somewhat Approve,Unfair,15,15,,,No,No,No,No,Yes,DK/REF,6
Female,63,55-64,White,,High school or less,Democrat,Liberal,Strongly Disapprove,Unfair,7.5,12,,,Yes,No,Yes,Yes,Yes,Unfair,7
Male,72,65+,White,30000,High school or less,DK/REF,Conservative,Strongly Approve,Unfair,10.2,10,4,20,No,No,No,No,Yes,Unfair,6
Female,80,65+,White,,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,9,8,,,No,Yes,Yes,No,DK/REF,DK/REF,8
Female,60,55-64,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,7.25,20,,,Yes,Yes,Yes,DK/REF,No,Unfair,2
Female,51,45-54,Black,,College degree,Democrat,DK/REF,Strongly Disapprove,Unfair,8,15,8,7,Yes,No,Yes,Yes,DK/REF,Unfair,8
Female,75,65+,White,,Some college,Independent,Moderate,Strongly Disapprove,Unfair,20,10,25,,No,No,No,No,No,Fair,9
Male,70,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,Unfair,,7,,30,Yes,DK/REF,Yes,Yes,No,Unfair,6
Male,67,65+,White,24000,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Fair,8.25,10,19,,No,No,Yes,No,DK/REF,Fair,DK/REF
Female,70,65+,Black,,High school or less,DK/REF,Moderate,DK/REF,Fair,1,,,,Yes,Yes,No,Yes,Yes,Fair,5
Female,80,65+,White,90000,Some college,Independent,Liberal,Somewhat Disapprove,Fair,25,25,10,8,No,No,No,Yes,Yes,DK/REF,9
Female,65,65+,White,80000,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,Fair,7,10,27,30,No,No,No,No,Yes,Fair,5
Female,76,65+,White,,High school or less,Democrat,Moderate,Somewhat Approve,Fair,15,17,20,30,Yes,No,Yes,Yes,Yes,Fair,Very attractive
Male,68,65+,White,75000,College degree,Republican,Conservative,Strongly Approve,DK/REF,10,15,,,No,No,No,No,Yes,Unfair,DK/REF
Female,97,65+,DK/REF,200000,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,15,12,40,40,No,No,No,No,Yes,Fair,Very attractive
Female,70,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,7.5,7.5,20,20,No,No,No,No,Yes,Unfair,6
Female,78,65+,White,,High school or less,Democrat,DK/REF,DK/REF,Fair,,,,,Yes,No,DK/REF,DK/REF,Yes,Fair,5
Female,96,65+,White,8000,Graduate degree,Independent,Moderate,Neither approve nor disapprove,DK/REF,12,20,50,,No,No,Yes,No,DK/REF,Unfair,7
Male,75,65+,White,20000,High school or less,Republican,DK/REF,Strongly Approve,Unfair,9,11,,,No,Yes,No,No,Yes,Unfair,8
Female,46,45-54,White,9500,College degree,Republican,Moderate,Strongly Approve,DK/REF,10,12,,,No,DK/REF,Yes,No,DK/REF,Unfair,7
Female,72,65+,White,30000,Some college,Independent,Conservative,Neither approve nor disapprove,DK/REF,9,,,50,Yes,No,No,No,No,Unfair,5
Female,90,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,,,,,No,No,Yes,No,Yes,Unfair,9
Female,75,65+,White,,High school or less,Democrat,Liberal,Somewhat Disapprove,Fair,,15,25,30,Yes,Yes,Yes,Yes,Yes,Unfair,DK/REF
Female,92,65+,White,,Some college,Independent,Moderate,DK/REF,Unfair,,6.5,50,20,No,DK/REF,No,No,DK/REF,Unfair,7
Female,55,55-64,Other,24000,Some college,Independent,Moderate,Somewhat Approve,Unfair,7.5,15,10,6,Yes,DK/REF,No,Yes,Yes,Unfair,5
Female,19,18-24,White,3000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,12,20,,15,Yes,No,No,Yes,No,Fair,DK/REF
Male,59,55-64,White,120000,College degree,Republican,Conservative,Strongly Approve,Fair,7.5,10,30,35,No,No,No,No,Yes,Fair,8
Female,53,45-54,White,90000,College degree,Republican,Moderate,Neither approve nor disapprove,Unfair,10,13,32,40,No,No,No,No,Yes,Unfair,6
Female,33,25-34,Latino,,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,10,9,,,Yes,No,No,Yes,Yes,Unfair,DK/REF
Female,64,55-64,White,,High school or less,Democrat,Conservative,Strongly Disapprove,Unfair,11,,,5,Yes,No,No,Yes,Yes,Unfair,3
Female,25,25-34,White,50000,Graduate degree,Independent,Moderate,Strongly Disapprove,DK/REF,10,12,,,DK/REF,Yes,Yes,DK/REF,Yes,Unfair,8
Female,72,65+,White,,Some college,Republican,Conservative,Strongly Approve,Fair,8,12,,,No,Yes,Yes,No,Yes,Fair,DK/REF
Male,82,65+,White,,Some college,Republican,Moderate,Strongly Approve,Fair,8,12,,,No,DK/REF,DK/REF,Yes,DK/REF,Unfair,Very attractive
Male,65,65+,White,,Some college,Independent,Conservative,Strongly Approve,Fair,,,,3,Yes,No,Yes,No,No,Unfair,3
Female,75,65+,White,25000,Some college,Democrat,Moderate,Strongly Disapprove,DK/REF,9,15,35,35,Yes,No,Yes,Yes,Yes,DK/REF,4
Male,74,65+,White,30000,High school or less,Independent,Liberal,Strongly Disapprove,Unfair,9,14,30,40,No,No,Yes,Yes,DK/REF,Unfair,4
Male,60,55-64,White,,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,DK/REF,10,,,,No,No,Yes,No,Yes,Unfair,DK/REF
Male,55,55-64,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,10.5,,35,10,No,No,No,No,Yes,Fair,4
Male,38,35-44,Asian,150000,College degree,Independent,Liberal,Strongly Disapprove,Fair,10,14,35,50,DK/REF,No,No,Yes,Yes,DK/REF,5
Female,77,65+,White,40000,College degree,Democrat,Liberal,Strongly Disapprove,DK/REF,7.45,14,40,35,No,Yes,Yes,Yes,DK/REF,Unfair,7
Male,19,18-24,White,20000,Some college,Republican,Conservative,Neither approve nor disapprove,Fair,9,9,,,No,No,No,No,Yes,Fair,4
Female,68,65+,White,,High school or less,Republican,Moderate,Strongly Approve,Fair,7.35,10,27,27,Yes,Yes,Yes,No,No,Unfair,7
Male,75,65+,White,45000,College degree,Republican,Conservative,Strongly Approve,Unfair,14,16,40,15,DK/REF,No,No,No,Yes,Unfair,7
Male,41,35-44,White,100000,Graduate degree,Independent,Moderate,Strongly Approve,Fair,7.25,7.25,35,20,No,No,No,No,Yes,Fair,6
Female,37,35-44,White,50000,Some college,Republican,Conservative,Strongly Approve,Fair,8,10,,,No,DK/REF,Yes,Yes,DK/REF,Unfair,Very attractive
Female,74,65+,White,,College degree,Republican,Conservative,Strongly Approve,DK/REF,10,,35,5,Yes,No,No,No,Yes,Fair,DK/REF
Female,53,45-54,White,30000,High school or less,Democrat,Moderate,Strongly Disapprove,Unfair,9,9,,,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,43,35-44,White,95000,College degree,Democrat,Moderate,Strongly Disapprove,Unfair,12,18,25,40,No,No,Yes,Yes,Yes,Unfair,7
Female,49,45-54,White,,College degree,Republican,Conservative,Somewhat Approve,Fair,15,15,32,,No,No,No,No,Yes,Unfair,8
Male,53,45-54,Black,250000,Graduate degree,Democrat,Conservative,Strongly Disapprove,Fair,8,10,30,30,Yes,No,Yes,No,Yes,Unfair,9
Male,50,45-54,Black,100000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,12,15,25,40,No,No,No,No,No,Unfair,DK/REF
Female,38,35-44,Black,70000,College degree,Democrat,Moderate,Somewhat Disapprove,Fair,14,18.5,20,35,Yes,No,Yes,Yes,No,Fair,9
Male,46,45-54,Asian,90000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,8,15,20,38,No,No,Yes,No,Yes,Unfair,DK/REF
Male,60,55-64,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,10,15,,,Yes,No,No,No,No,Unfair,6
Male,58,55-64,White,,Some college,Democrat,Liberal,DK/REF,Fair,10,12,,,Yes,Yes,Yes,Yes,No,Unfair,3
Male,62,55-64,White,,Some college,Republican,Conservative,Somewhat Approve,Fair,7.5,,30,,No,No,DK/REF,No,Yes,Fair,5
Male,87,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,12,15,,,No,Yes,DK/REF,DK/REF,DK/REF,Unfair,8
Male,33,25-34,White,24000,High school or less,Democrat,Moderate,Strongly Disapprove,Unfair,7.25,10.5,,,Yes,Yes,Yes,Yes,No,Unfair,5
Female,75,65+,White,,High school or less,Republican,DK/REF,DK/REF,Unfair,12,12,,,Yes,Yes,Yes,Yes,No,DK/REF,DK/REF
Female,71,65+,White,,Graduate degree,Democrat,DK/REF,Strongly Disapprove,Unfair,11,12,,,Yes,Yes,Yes,Yes,DK/REF,Unfair,6
Female,75,65+,White,90000,Graduate degree,Independent,Liberal,Strongly Disapprove,Unfair,10,15,30,35,DK/REF,Yes,Yes,Yes,Yes,Unfair,5
Female,62,55-64,White,,College degree,Republican,Moderate,Strongly Approve,Unfair,8,15,20,25,Yes,No,Yes,No,No,Unfair,4
Female,18,18-24,White,,High school or less,Democrat,DK/REF,Neither approve nor disapprove,Fair,15,8.95,,,No,Yes,No,No,Yes,Unfair,Very attractive
Male,63,55-64,White,,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,12,12,35,35,No,No,No,No,Yes,Unfair,7
Male,66,65+,White,,College degree,Republican,Moderate,Somewhat Approve,Unfair,9.75,9.75,23,23,No,No,Yes,No,Yes,Fair,8
Other,37,35-44,Other,,Graduate degree,Independent,Moderate,DK/REF,DK/REF,7,,30,15,No,DK/REF,DK/REF,No,Yes,DK/REF,DK/REF
Female,70,65+,White,,High school or less,Republican,Moderate,Strongly Approve,Unfair,,,,,Yes,No,Yes,Yes,DK/REF,Unfair,4
Female,88,65+,White,,High school or less,Independent,Liberal,DK/REF,DK/REF,10,12,,8,No,DK/REF,DK/REF,No,DK/REF,DK/REF,DK/REF
Male,66,65+,Black,45000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,8,14,6,12,No,No,No,Yes,Yes,Unfair,5
Female,26,25-34,White,,College degree,DK/REF,Moderate,Somewhat Disapprove,Unfair,7.5,7.5,,,No,No,No,No,No,Unfair,7
Male,71,65+,White,,Some college,Republican,Conservative,Strongly Approve,DK/REF,9,9,35,35,No,No,No,No,Yes,Fair,8
Male,31,25-34,White,80000,High school or less,DK/REF,Moderate,Somewhat Approve,Fair,7.25,9,3,10,Yes,Yes,Yes,Yes,Yes,Fair,7
Male,88,65+,White,100000,High school or less,Democrat,Conservative,Strongly Disapprove,Unfair,20,20,20,20,Yes,No,Yes,Yes,Yes,Unfair,9
Female,61,55-64,White,150000,Graduate degree,Republican,Conservative,Strongly Approve,Fair,7.25,10,20,10,No,No,No,No,Yes,Fair,DK/REF
Female,30,25-34,White,,Some college,Democrat,DK/REF,Somewhat Disapprove,DK/REF,,15,,,DK/REF,DK/REF,DK/REF,Yes,Yes,DK/REF,DK/REF
Male,85,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,DK/REF,7.41,,15,29,Yes,No,No,DK/REF,Yes,Unfair,DK/REF
Female,59,55-64,White,,College degree,Republican,Moderate,Strongly Disapprove,Fair,25,30,18,10,Yes,No,Yes,No,Yes,Unfair,DK/REF
Female,60,55-64,White,,High school or less,Republican,Moderate,Strongly Approve,DK/REF,9,9,37,50,Yes,No,Yes,Yes,Yes,Unfair,9
Female,35,35-44,Black,15000,College degree,Democrat,Liberal,Somewhat Approve,Fair,10,15,,10,No,Yes,Yes,Yes,Yes,Fair,8
Male,65,65+,Asian,150000,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,8,15,24,10,No,No,No,Yes,No,Fair,8
Female,70,65+,Latino,60000,College degree,DK/REF,Conservative,Strongly Disapprove,Fair,,5,,,No,No,No,No,Yes,Fair,Very attractive
Female,60,55-64,White,50000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,10,15,,,No,No,No,No,Yes,Unfair,5
Female,26,25-34,Latino,20000,High school or less,Republican,Moderate,Strongly Approve,Unfair,8.25,13,,,No,No,No,No,No,Fair,6
Female,88,65+,White,,High school or less,Democrat,Conservative,Somewhat Approve,Unfair,,,,,Yes,DK/REF,DK/REF,No,Yes,Unfair,7
Female,60,55-64,White,,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,15,,,,Yes,No,Yes,No,Yes,DK/REF,7
Female,54,45-54,White,50000,College degree,Republican,Conservative,Strongly Approve,Unfair,8,11,,,Yes,No,Yes,DK/REF,Yes,Unfair,5
Male,65,65+,White,,High school or less,Republican,DK/REF,Strongly Approve,DK/REF,,18,,,No,No,No,Yes,Yes,DK/REF,8
Female,87,65+,White,,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,,,,,No,No,No,No,DK/REF,DK/REF,5
Male,70,65+,White,18000,Graduate degree,Democrat,Moderate,Somewhat Disapprove,Unfair,8,10,30,,Yes,Yes,Yes,Yes,No,Unfair,8
Female,61,55-64,White,,Some college,Republican,Conservative,Somewhat Approve,Fair,7.45,,32,32,No,No,No,No,No,Fair,DK/REF
Female,84,65+,White,60000,Some college,Democrat,Liberal,Strongly Disapprove,Unfair,8.25,15,20,50,No,No,No,No,DK/REF,Unfair,DK/REF
Female,70,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,Unfair,,20,10,15,Yes,No,Yes,No,DK/REF,Unfair,8
Female,80,65+,Black,80000,Graduate degree,Democrat,Conservative,Strongly Disapprove,Unfair,8,13,,1,Yes,Yes,Yes,Yes,Yes,Unfair,Very attractive
Female,67,65+,White,21000,Some college,Democrat,Conservative,Strongly Disapprove,Unfair,8,10,21,15,Yes,No,Yes,Yes,No,Unfair,4
Female,87,65+,White,,High school or less,Democrat,Moderate,Strongly Disapprove,Fair,15,,,,Yes,No,DK/REF,No,Yes,Unfair,DK/REF
Male,36,35-44,Black,10000,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,10,9,,30,Yes,Yes,Yes,Yes,No,Unfair,7
Female,63,55-64,White,,High school or less,Independent,Moderate,Strongly Approve,Unfair,7,12,,1,Yes,No,Yes,Yes,DK/REF,Unfair,8
Male,70,65+,Black,40000,High school or less,Independent,Moderate,Strongly Disapprove,Fair,10,15,30,15,Yes,No,No,Yes,DK/REF,Fair,7
Male,71,65+,White,,High school or less,Independent,DK/REF,Strongly Disapprove,Fair,10,15,,,Yes,Yes,Yes,No,Yes,Unfair,5
Male,56,55-64,White,80000,Some college,Republican,Conservative,Strongly Approve,Unfair,9.5,,39,30,No,No,No,No,Yes,DK/REF,7
Female,83,65+,White,,High school or less,Democrat,Moderate,Strongly Disapprove,DK/REF,,,,,Yes,DK/REF,Yes,Yes,DK/REF,Unfair,5
Female,62,55-64,Asian,20000,College degree,Republican,Liberal,Strongly Approve,Unfair,15,15,20,25,Yes,Yes,Yes,Yes,DK/REF,Unfair,8
Male,74,65+,White,,College degree,DK/REF,Conservative,Neither approve nor disapprove,Unfair,10,,20,,No,Yes,DK/REF,No,DK/REF,Unfair,DK/REF
Male,75,65+,DK/REF,,Some college,Independent,Moderate,Neither approve nor disapprove,DK/REF,8,,15,,DK/REF,Yes,DK/REF,Yes,DK/REF,DK/REF,DK/REF
Male,27,25-34,Black,12000,High school or less,Independent,Moderate,Strongly Disapprove,DK/REF,8,9,,,Yes,Yes,Yes,Yes,Yes,Unfair,7
Male,39,35-44,White,,College degree,Republican,Conservative,DK/REF,Unfair,,,20,,No,No,No,No,Yes,Fair,DK/REF
Male,90,65+,White,,College degree,DK/REF,DK/REF,DK/REF,DK/REF,,,,,No,No,DK/REF,No,DK/REF,DK/REF,Very attractive
Female,76,65+,White,34000,College degree,Republican,Moderate,Strongly Approve,Unfair,7,10,37,47,No,Yes,No,No,Yes,Unfair,6
Female,55,55-64,White,12000,High school or less,Republican,Conservative,Strongly Approve,Unfair,15,10,,,No,No,No,No,DK/REF,Fair,9
Female,55,55-64,Black,70000,Graduate degree,Democrat,Moderate,Strongly Disapprove,Fair,9.75,13,15,20,Yes,Yes,Yes,Yes,Yes,Unfair,8
Male,18,18-24,White,10000,Some college,Democrat,Liberal,Neither approve nor disapprove,Fair,9,8,12,10,Yes,Yes,Yes,No,Yes,Fair,8
Male,60,55-64,White,300000,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,8,15,30,30,No,No,No,Yes,Yes,Unfair,8
Female,37,35-44,White,120000,College degree,Republican,Conservative,Strongly Approve,Fair,7,5,20,15,No,No,No,No,Yes,Fair,6
Male,25,25-34,White,,Graduate degree,Republican,Moderate,DK/REF,Fair,9,12,10,20,Yes,No,No,Yes,Yes,Fair,5
Male,48,45-54,DK/REF,,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,10,15,30,30,Yes,Yes,Yes,No,No,Unfair,7
Male,33,25-34,Latino,,Graduate degree,Democrat,Moderate,Somewhat Disapprove,Fair,12,12,25,25,Yes,Yes,Yes,No,Yes,Fair,7
Male,36,35-44,White,60000,High school or less,Republican,Moderate,Strongly Approve,Unfair,10,10,10,25,Yes,No,No,No,Yes,Fair,DK/REF
Female,31,25-34,White,,College degree,Republican,Conservative,Strongly Approve,Fair,12,12,25,25,No,No,No,Yes,Yes,Fair,8
Male,23,18-24,White,,Some college,Independent,Moderate,Somewhat Disapprove,Fair,11,13,30,40,Yes,Yes,No,Yes,Yes,Unfair,8
Male,60,55-64,White,,College degree,Independent,Conservative,Strongly Approve,Unfair,7.5,10,,20,No,No,No,No,No,Fair,7
Male,47,45-54,White,100000,High school or less,Republican,Conservative,Strongly Approve,Unfair,8,,,,No,No,No,No,No,Unfair,DK/REF
Female,32,25-34,Latino,,High school or less,DK/REF,DK/REF,DK/REF,DK/REF,7,15,,,No,No,Yes,No,Yes,DK/REF,Very attractive
Female,49,45-54,Black,,Some college,Democrat,Moderate,Strongly Disapprove,Unfair,7.85,13,22,40,Yes,No,No,Yes,Yes,Fair,8
Female,64,55-64,White,150000,College degree,Independent,Moderate,Strongly Disapprove,Unfair,7.81,,8,10,No,No,No,No,No,Unfair,8
Female,59,55-64,White,50000,College degree,Democrat,Moderate,Neither approve nor disapprove,Unfair,7.25,10,30,37,No,Yes,Yes,Yes,Yes,Unfair,7
Female,51,45-54,White,,High school or less,Republican,Moderate,Somewhat Approve,Unfair,10,17,30,45,Yes,No,No,No,Yes,Unfair,8
Female,80,65+,White,,Graduate degree,Independent,Moderate,DK/REF,DK/REF,,,10,20,No,No,No,No,DK/REF,Fair,5
Male,61,55-64,White,88000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,9,15,30,33,No,No,Yes,No,Yes,Unfair,8
Female,20,18-24,Black,,High school or less,Democrat,Conservative,Strongly Disapprove,Fair,,25,25,15,Yes,No,No,Yes,Yes,Fair,8
Female,50,45-54,White,25000,High school or less,Republican,Conservative,DK/REF,Fair,8.5,20,20,,Yes,No,No,Yes,Yes,Fair,9
Female,65,65+,White,12000,Some college,Independent,Moderate,Strongly Disapprove,Fair,,15,,,No,No,No,No,Yes,Fair,5
Female,55,55-64,White,,Some college,Independent,Moderate,Strongly Disapprove,Fair,11,12,36,20,No,No,No,No,Yes,Fair,8
Male,81,65+,White,,High school or less,Republican,Conservative,Somewhat Approve,Unfair,9,,,,Yes,No,No,Yes,Yes,Unfair,DK/REF
Female,62,55-64,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,12,18,28,40,Yes,No,No,Yes,Yes,Fair,7
Female,56,55-64,White,75000,Graduate degree,Independent,Moderate,Somewhat Disapprove,Fair,14,10,33,50,No,No,No,No,Yes,Fair,8
Male,68,65+,White,,Some college,Independent,Moderate,Somewhat Disapprove,Fair,7.75,,22,30,No,No,No,No,Yes,Unfair,4
Female,46,45-54,White,,DK/REF,Republican,Conservative,Strongly Approve,DK/REF,7.25,9.25,,,No,No,No,No,Yes,Fair,DK/REF
Female,50,45-54,DK/REF,100000,College degree,Independent,DK/REF,Strongly Disapprove,Fair,10,100,100000,100000,No,No,No,No,No,DK/REF,Very attractive
Male,69,65+,White,,Graduate degree,Republican,Conservative,Somewhat Approve,Fair,15,15,33,33,No,No,No,No,Yes,Fair,7
Female,37,35-44,White,,College degree,Independent,Moderate,Neither approve nor disapprove,Unfair,7.5,10,33,30,No,No,No,Yes,No,Unfair,DK/REF
Female,60,55-64,White,,Graduate degree,Independent,Conservative,DK/REF,Unfair,15,15,,45,Yes,Yes,Yes,Yes,No,Unfair,DK/REF
Male,58,55-64,White,150000,Graduate degree,Democrat,Moderate,Strongly Disapprove,DK/REF,10,12,,35,No,No,Yes,No,Yes,Unfair,6
Male,76,65+,White,45000,High school or less,Republican,Moderate,Strongly Approve,DK/REF,11,,,40,No,No,No,No,Yes,Unfair,DK/REF
Female,36,35-44,White,,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,15,10,,20,No,No,No,No,Yes,DK/REF,8
Female,67,65+,White,,Some college,Republican,Conservative,Strongly Approve,Fair,10,,,,No,No,DK/REF,No,Yes,Fair,9
Female,20,18-24,White,10000,High school or less,Independent,Moderate,DK/REF,Unfair,10,13,,10,Yes,No,Yes,Yes,Yes,Fair,DK/REF
Male,55,55-64,White,50000,High school or less,Independent,Moderate,Somewhat Disapprove,Fair,8.75,8.75,30,30,No,No,DK/REF,No,Yes,Fair,5
Male,42,35-44,Asian,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Fair,7.25,7.25,38,25,No,No,No,No,No,Unfair,8
Male,46,45-54,Other,50000,Some college,Republican,Conservative,Strongly Approve,Unfair,6,7.5,15,15,No,Yes,Yes,No,Yes,Fair,8
Female,32,25-34,Other,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,7,12,10,20,Yes,No,No,No,Yes,Unfair,DK/REF
Female,40,35-44,DK/REF,,College degree,DK/REF,Liberal,Strongly Disapprove,Unfair,10,15,,40,Yes,No,No,DK/REF,No,Unfair,DK/REF
Female,75,65+,Other,,Graduate degree,Independent,Conservative,Somewhat Disapprove,Unfair,10.75,15,50,50,Yes,Yes,Yes,No,Yes,Fair,DK/REF
Male,58,55-64,Black,175000,Some college,Democrat,Liberal,Neither approve nor disapprove,Fair,11,15,,,No,No,Yes,No,Yes,Fair,Very attractive
Other,19,18-24,DK/REF,50000,High school or less,Independent,DK/REF,Strongly Approve,Unfair,9.75,12,20,30,No,No,No,Yes,No,Unfair,9
Female,68,65+,White,,Some college,Republican,Conservative,DK/REF,Fair,10,15,30,30,No,Yes,No,No,DK/REF,Unfair,4
Female,40,35-44,White,,Some college,Republican,Conservative,Neither approve nor disapprove,Fair,8.75,9.5,36,36,No,Yes,Yes,No,DK/REF,Fair,4
Female,85,65+,White,,Some college,Independent,Moderate,Neither approve nor disapprove,Unfair,15,,25,30,No,No,DK/REF,No,No,Unfair,DK/REF
